Harrison,Nutter Fort Public Library,84.06,84.06,84.5,,,84.93,1.034975018
Fayette,Fayette County Public Library,70.43,70.78,69.99,,,71.32,1.263666051
Mingo,Williamson Public Library,67.48,69.01,65.29,,,68.38,1.333728512
Wyoming,Wyoming County Public Library,42.54,43.13,46.56,,,43.56,2.3977433
Marion,Marion County Public Library,79.29,79.98,79.81,,,81.23,2.446714592
Hancock,Mary H. Weir Public Library,77.15,68.15,77.17,,,79.43,2.955281918
Boone,Boone-Madison Public Library,41.76,48.01,47.4,,,43.05,3.08908046
Putnam,Putnam County Library,60.64,60.73,57.97,,,62.63,3.281662269
Harrison,Bridgeport Public Library,90.82,91.67,92.52,,,93.99,3.490420612
Preston,Kingwood Public Library,43.41,44.88,44.64,,,45.04,3.754895185
Grant,Grant County Public Library,60.84,62.27,64.56,,,63.43,4.257067719
Wood,Vienna Public Library,83.74,83.44,83.23,,,87.39,4.358729401
Pleasants,Pleasants County Public Library,50.44,59.19,50.25,,,52.77,4.619349722
Doddridge,Doddridge County Public Library,88.22,91.49,90.25,,,92.66,5.032872365
Ohio,Ohio County Public Library,84.18,85.53,85.06,,,88.57,5.215015443
Barbour,Philippi Public Library,34.64,27.06,27.07,,,36.45,5.22517321
Cabell,Cabell County Public Library,75.5,76.78,76.43,,,79.45,5.231788079
Monongalia,Morgantown Public Library,61.98,67.71,70.92,,,66.29,6.953856083
Tucker,Five Rivers Public Library,34.08,34.14,26.91,,,36.6,7.394366197
Tyler,Sistersville Public Library,68.87,62,67.19,,,74.15,7.666618266
Wirt,Dora B. Woodyard Memorial Library,66.12,62.91,63.86,,,71.21,7.698124622
Taylor,Taylor County Public Library,62.38,64.16,63.18,,,67.19,7.710804745
Hardy,Hardy County Public Library,52.86,52.62,48.2,,,57.14,8.096859629
Mineral,Keyser-Mineral County Public Library,25.89,25.89,25.86,,,28.01,8.188489764
Randolph,Elkins-Randolph County Public Library,29.04,26.69,27.22,,,31.49,8.436639118
Berkeley,Martinsburg-Berkeley Co. Public Library,55.42,54.74,55.84,,,60.39,8.967881631
Wetzel,New Martinsville Public Library,53.15,52.51,52.91,,,57.99,9.106302916
Hancock,Swaney Memorial Library,38.65,38.1,51.61,,,42.18,9.133247089
Wetzel,Paden City Public Library,51.39,51.05,51.02,,,56.49,9.924109749
Hancock,Lynn Murray Memorial Library,44.54,29.56,45.9,,,49,10.01347104
Ritchie,Ritchie County Public Library,82.76,84.49,84.7,,,91.9,11.0439826
Roane,Roane County Public Library,53.05,49.33,52.09,,,59.08,11.36663525
Greenbrier,Rupert Public Library,24.71,31.78,28.88,,,27.92,12.99069203
Pendleton,Pendleton County Public Library,40,41.16,40.25,,,46.33,15.825
Mason,Mason County Public Library,36.56,36.93,33.46,,,42.8,17.0678337
Nicholas,Craigsville Public Library,27.14,22.5,23.82,,,31.88,17.46499632
Jefferson,South Jefferson Public Library,45.95,53.78,53.59,,,53.98,17.47551687
Tucker,Mountaintop Public Library,30.88,28.75,37.08,,,36.32,17.61658031
Harrison,Clarksburg-Harrison Co. Public Library,50.64,50.78,53.23,,,59.97,18.42417062
Jefferson,Bolivar-Harpers Ferry Public Library,46.81,49.72,52.46,,,55.55,18.6712241
Jackson,Jackson County Public Library,47.19,50.35,55.04,,,56.03,18.73278237
Wetzel,Hundred Public Library,53.94,58.62,56.27,,,64.22,19.05821283
Wetzel,Pine Grove Public Library,53.5,59.99,57.1,,,63.76,19.17757009
Clay,Clay County Public Library,52.7,56.3,58.38,,,62.94,19.43074004
Webster,Cowen Public Library,28.25,32.9,31.46,,,33.97,20.24778761
Marshall,Moundsville-Marshall County Public Library,64.62,65,64.93,,,77.99,20.6901888
Jefferson,Shepherdstown Public Library,41.84,50.7,53.26,,,51.04,21.98852772
Lewis,Louis Bennett Public Library,44.27,46.38,49.05,,,54.79,23.76327084
Monroe,Peterstown Public Library,36.05,38.44,38.34,,,44.79,24.24410541
Harrison,Southern Area Public Library,55.26,45.33,70.02,,,69.39,25.57003257
Brooke,Brooke County Public Library,45.31,49.25,39.48,,,56.91,25.60141249
Preston,Terra Alta Public Library,35.29,36.67,37.18,,,44.89,27.2031737
Tyler,Tyler County Public Library,40.45,56.33,47.88,,,53.3,31.76761434
Barbour,Belington Public Library,25.25,25.15,24.75,,,35.46,40.43564356
Calhoun,Calhoun County Public Library,39.47,42.99,51.34,,,55.91,41.65188751
Pocahontas,Pocahontas County Free Libraries,55.77,63.35,69.46,,,80.79,44.86282948
Mineral,Piedmont Public Library,23.6,24.82,31.34,,,36.62,55.16949153
Nicholas,Summersville Public Library,40.1,53.76,56.13,,,64,59.60099751
McDowell,McDowell Public Library,13.66,18.53,13.63,,,25.37,85.72474378
Morgan,Morgan County Public Library,17.24,20.23,15.85,,,34.38,99.4199536
Morgan,Paw Paw Public Library,18.46,23.47,28.83,,,44.6,141.603467
McDowell,War Public Library,40.11,42.94,40.01,,,#VALUE!,#VALUE!
McDowell,War Public Library,40.11,42.94,40.01,,,#VALUE!,#VALUE!
